source,target,closeness
1.1.1,1.2.1,1
1.164.50,10.90.16,5
10.187.1,1.99.1,2
10.187.1,10.187.2,3
10.187.1,10.187.3,3
10.187.1,10.187.4,3
10.187.1,10.187.5,3
3.62.18,7.96.3,3
3.62.18,8.101.8,3
3.62.18.9.62.24,3
3.62.18,9.65.25,3
