mandala,sukta,mantra,related-1,related-2,related-3,related-4,related-5
1,1,1,1.1.2,1.1.3,,,
1,164,10,10.90.16,,,,
10,90,16,1.164.50,,,,
10,187,1,1.99.1,10.187.2,10.187.3,10.187.4,10.187.5
10,182,3,10.125.6,,,,
1,154,2,10.180.2,,,,
