Ashtaka, Adhyaya, VargaCount, ForwardSutra, BackwardSutra
1,1,37,अग्निमीळे युंजन्ति इन्द्रं विश्वा इमे सोमासः सप्ता
7, 2, 33, हिन्वन्ति सूरम् अग्नेयपवस्व इषुर्न धन्वन् शिशुर्न त्रीणी
