Adhyaya, Sutra
1,स्वादिष्ठया मन्द्र्योपास्मै चत्वारी (24)
2,सोमः पुनानो एते धावन्ति प्रसोमास स्वाध्या १॒॑ अप्रये गावस्त्रयः (33)
3,प्रण इंदोऽस्यप्रत्नां पवमानो अजीजनत् सुता अनुस्वमेकादश (41)
4,हिन्वन्ति सूरं अग्ने पवस्व अष्टा  (18)
