Mandala, Sukta, Sutra1, Sutra2, Sutra3, Notes
10,121,हिरण्यगर्भो य आत्मदा य​: प्राणतो यस्येमे ये नद्यौ पन्छा , यं क्रन्दसी आपो यस्चिदापो मनो हिम्सी पन्छा,,
9,18,परि सुवानो त्वंविप्रस्तवविश्वे आयो विश्वानि य इमे परि यो रोदसी स् सुष्मी सप्ता,,,
9,4,,,,
9,58,तरत् स मन्दी उस्रा वेद ध्वस्रयो आययो चत्वारी,,,
